name,rating,genre,release_date,actor,overview
First Blood,75.0,"Action, Adventure, Thriller, War",1982,Sylvester Stallone,"
When former Green Beret John Rambo is harassed by local law enforcement and arrested for vagrancy, he is forced to flee into the mountains and wage an escalating one-man war against his pursuers.
"
The Town,72.03,"Crime, Drama, Thriller",2010,Ben Affleck,"
Doug MacRay is a longtime thief, who, smarter than the rest of his crew, is looking for his chance to exit the game. When a bank job leads to the group kidnapping an attractive branch manager, he takes on the role of monitoring her – but their burgeoning relationship threatens to unveil the identities of Doug and his crew to the FBI Agent who is on their case.
"
Clifford the Big Red Dog,72.03999999999999,"Family, Adventure, Comedy, Fantasy, Animation",2021,Darby Camp,"
As Emily struggles to fit in at home and at school, she discovers a small red puppy who is destined to become her best friend. When Clifford magically undergoes one heck of a growth spurt, becomes a gigantic dog and attracts the attention of a genetics company, Emily and her Uncle Casey have to fight the forces of greed as they go on the run across New York City. Along the way, Clifford affects the lives of everyone around him and teaches Emily and her uncle the true meaning of acceptance and unconditional love.
"
The Killing of a Sacred Deer,70.0,"Drama, Thriller, Mystery",2017,Colin Farrell,"
Dr. Steven Murphy is a renowned cardiovascular surgeon who presides over a spotless household with his wife and two children. Lurking at the margins of his idyllic suburban existence is Martin, a fatherless teen who insinuates himself into the doctor's life in gradually unsettling ways.
"
A Boy Called Christmas,74.15,"Family, Adventure, Fantasy",2021,Henry Lawfull,"
An ordinary young boy called Nikolas sets out on an extraordinary adventure into the snowy north in search of his father who is on a quest to discover the fabled village of the elves, Elfhelm. Taking with him a headstrong reindeer called Blitzen and a loyal pet mouse, Nikolas soon meets his destiny in this magical and endearing story that proves nothing is impossible…
"
The Interview,61.89,"Action, Comedy",2014,James Franco,"
Dave Skylark and his producer Aaron Rapaport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Kim Jong-un, they are recruited by the CIA to turn their trip to Pyongyang into an assassination mission.
"
I Want You,74.06,"Drama, Romance",2012,Mario Casas,"
The sexy Gin is the new love of Hache, but this can not forget his former girlfriend, so the love triangle is inevitable.
"
Night Swim,0.0,,2024,Wyatt Russell,"
Forced into early retirement by a degenerative illness, former baseball player Ray Waller moves into a new house with his wife and two children. He hopes that the backyard swimming pool will be fun for the kids and provide physical therapy for himself. However, a dark secret from the home's past soon unleashes a malevolent force that drags the family into the depths of inescapable terror.
"
Mortal Kombat,71.0,"Action, Fantasy, Adventure",2021,Lewis Tan,"
Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.
"
Aliens vs Predator: Requiem,51.65,"Fantasy, Action, Science Fiction, Thriller, Horror",2007,Steven Pasquale,"
The iconic creatures from two of the scariest film franchises in movie history wage their most brutal battle ever—in our own backyard. The small town of Gunnison, Colorado becomes a war zone between two of the deadliest extra-terrestrial life forms—the Alien and the Predator. When a Predator scout ship crash-lands in the hills outside the town, Alien Facehuggers and a hybrid Alien/Predator are released and begin to terrorize the town.
"
Black Friday,49.54,"Horror, Comedy, Science Fiction",2021,Devon Sawa,"
A group of toy store employees must protect each other from a horde of parasite infected shoppers.
"
Scouts Guide to the Zombie Apocalypse,65.0,"Comedy, Horror",2015,Tye Sheridan,"
Three scouts and lifelong friends join forces with one badass cocktail waitress to become the world’s most unlikely team of heroes.  When their peaceful town is ravaged by a zombie invasion, they’ll fight for the badge of a lifetime and put their scouting skills to the test to save mankind from the undead.
"
The Thing,80.52,"Horror, Mystery, Science Fiction",1982,Kurt Russell,"
A team of American scientists investigate the empty, destroyed base of their Norwegian counterparts in Antarctica, only to discover a terrifying life force that can take the form of its prey.
"
Dumb and Dumber To,55.5,Comedy,2014,Jim Carrey,"
20 years since their first adventure, Lloyd and Harry go on a road trip to find Harry's newly discovered daughter, who was given up for adoption.
"
Friends with Benefits,66.49,"Romance, Comedy",2011,Justin Timberlake,"
Dylan and Jamie think it's going to be easy to add the simple act of sex to their friendship, despite what Hollywood romantic comedies would have them believe. They soon discover however that getting physical really does always lead to complications.
"
Midsommar,71.62,"Horror, Drama, Mystery",2019,Florence Pugh,"
Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities.
"
Catering Christmas,66.63,"TV Movie, Comedy, Romance",2022,Merritt Patterson,"
A fledgling caterer, Molly Frost, is hired by Jean Harrison, the perfectionistic director of the renowned Harrison Foundation, to cater this year’s annual Christmas Gala dinner. Things get complicated when Molly falls for Jean’s nephew, Carson, 30s, a travel photographer with no desire to take over the family’s foundation… until his aunt assigns him to the task of making sure the catered dinner goes perfectly.
"
Pinocchio,71.04,"Animation, Family",1940,Dickie Jones,"
When loving Geppetto creates a wooden puppet, his wish is granted when it comes to life as a little wooden boy named Pinocchio. With his faithful friend and conscience Jiminy Cricket by his side, Pinocchio, embarks on fantastic adventures that his bravery, loyalty and honesty until triumphs in his triumphs in his quest for his heart's desire: to become a real boy.
"
Dragon Ball Z: Cooler's Revenge,69.17,"Action, Animation, Science",1991,Masako Nozawa,"
After defeating Frieza, Goku returns to Earth and goes on a camping trip with Gohan and Krillin. Everything is normal until Cooler - Frieza's brother - sends three henchmen after Goku. A long fight ensues between our heroes and Cooler, in which he transforms into the fourth stage of his evolution and has the edge in the fight... until Goku transforms into a Super Saiyan.
"
RRR,78.04,"Action, Drama",2022,N.T. Rama Rao Jr.,"
A fictional history of two legendary revolutionaries' journey away from home before they began fighting for their country in the 1920s.
"
Law Abiding Citizen,73.74,"Drama, Crime, Thriller",2009,Jamie Foxx,"
A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free. He targets not only the killer but also the district attorney and others involved in the deal.
"
Christmas with a Kiss,76.67,"TV Movie, Comedy, Drama, Romance",2023,Mishael Morgan,"
This Mahogany film follows a woman who returns home for her family’s Christmas Carnival, unexpectedly meeting a photo journalist.
"
Boruto: Naruto the Movie,76.0,"Animation, Action, Comedy",2015,Yuko Sanpei,"
The spirited Boruto Uzumaki, son of Seventh Hokage Naruto, is a skilled ninja who possesses the same brashness and passion his father once had. However, the constant absence of his father, who is busy with his Hokage duties, puts a damper on Boruto's fire. He ends up meeting his father's friend Sasuke, and requests to become... his apprentice!? The curtain on the story of the new generation rises!
"
Bitter Moon,71.0,"Thriller, Drama, Romance",1992,Peter Coyote,"
A passenger on a cruise ship develops an irresistible infatuation with an eccentric paraplegic's wife.
"
50 First Dates,68.54,"Comedy, Romance",2004,Adam Sandler,"
Henry is a player skilled at seducing women. But when this veterinarian meets Lucy, a girl with a quirky problem when it comes to total recall, he realizes it's possible to fall in love all over again…and again, and again. That's because the delightful Lucy has no short-term memory, so Henry must woo her day after day until he finally sweeps her off her feet.
"
Predestination,74.42999999999999,"Science Fiction, Thriller",2014,Ethan Hawke,"
Predestination chronicles the life of a Temporal Agent sent on an intricate series of time-travel journeys designed to prevent future killers from committing their crimes. Now, on his final assignment, the Agent must stop the one criminal that has eluded him throughout time and prevent a devastating attack in which thousands of lives will be lost.
"
Drive,76.0,"Drama, Thriller, Crime",2011,Ryan Gosling,"
Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior, lately he's been warming up to a pretty neighbor named Irene and her young son, Benicio. When Irene's husband gets out of jail, he enlists Driver's help in a million-dollar heist. The job goes horribly wrong, and Driver must risk his life to protect Irene and Benicio from the vengeful masterminds behind the robbery.
"
The Time Machine,62.29,"Science Fiction, Adventure, Action",2002,Guy Pearce,"
Hoping to alter the events of the past, a 19th century inventor instead travels 800,000 years into the future, where he finds mankind divided into two warring races.
"
300,71.77,"Action, Adventure, War",2007,Gerard Butler,"
Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.
"
The Last Airbender,46.59,"Action, Adventure, Fantasy",2010,Noah Ringer,"
The story follows the adventures of Aang, a young successor to a long line of Avatars, who must put his childhood ways aside and stop the Fire Nation from enslaving the Water, Earth and Air nations.
"
Jeepers Creepers 2,61.1,Horror,2003,Ray Wise,"
When their bus is crippled on the side of a deserted road, a team of high school athletes discover an opponent they cannot defeat – and may not survive. Staring hungrily at them through the school bus windows, The Creeper returns again and again. But when the teammates discover that it’s selective about whom it attacks, it will test their ability to stick together – as the insatiable menace tries to tear them apart!
"
Campeonex,66.9,Drama,2023,Elisa Hipólito,"
The team of ""Champions (2018)"" abandons basketball to enter by mistake the fascinating world of athletics under the guidance of a novice coach.
"
Power Rangers,62.75,"Action, Adventure, Science Fiction",2017,Dacre Montgomery,"
Five ordinary teens must become something extraordinary when they learn that their small town of Angel Grove — and the world — is on the verge of being obliterated by an alien threat. Chosen by destiny, our heroes quickly discover they are the only ones who can save the planet. But to do so, they will have to overcome their real-life issues and before it’s too late, band together as the Power Rangers.
"
Addams Family Values,69.5,"Comedy, Family, Fantasy",1993,Joan Cusack,"
Siblings Wednesday and Pugsley Addams will stop at nothing to get rid of Pubert, the new baby boy adored by parents Gomez and Morticia. Things go from bad to worse when the new ""black widow"" nanny, Debbie Jellinsky, launches her plan to add Fester to her collection of dead husbands.
"
Rocky IV,70.75,Drama,1985,Sylvester Stallone,"
Rocky Balboa proudly holds the world heavyweight boxing championship, but a new challenger has stepped forward: Drago, a six-foot-four, 261-pound fighter who has the backing of the Soviet Union.
"
From Straight A's to XXX,58.87,"Drama, TV Movie",2017,Haley Pullos,"
When a change of circumstances leaves Miriam unable to pay her college tuition, she makes a surprising decision: to start performing in adult films, using the pseudonym Belle Knox. Miriam lies to her family and her friends at school, keeping her double life a secret. But soon rumours spread and Miriam becomes the subject of vicious online attacks and unwanted attention. Miriam fights back: she talks to the media, saying her new line of work empowers her as a feminist. But her confident stand has unintended consequences. Miriam is shunned by her conservative family and her colleagues in the adult film world. One impulsive decision has quickly spiralled out of control - and Miriam's problems are just beginning.
"
Murder on the Orient Express,67.09,"Mystery, Drama, Crime",2017,Kenneth Branagh,"
Genius Belgian detective Hercule Poirot investigates the murder of an American tycoon aboard the Orient Express train.
"
Nope,68.88,"Horror, Science Fiction, Mystery",2022,Daniel Kaluuya,"
Residents in a lonely gulch of inland California bear witness to an uncanny, chilling discovery.
"
Alienoid,71.23,"Science Fiction, Action, Fantasy, Adventure",2022,Ryu Jun-yeol,"
Gurus in the late Goryeo dynasty try to obtain a fabled, holy sword, and humans in 2022 hunt down an alien prisoner that is locked in a human's body. The two parties cross paths when a time-traveling portal opens up.
"
Sleepless in Seattle,67.0,"Comedy, Drama, Romance",1993,Tom Hanks,"
When Sam Baldwin's wife dies, he is left to bring up his eight-year-old son Jonah alone, and decides to move to Seattle to make a new start. On Christmas Eve, Jonah rings a radio phone-in with his Christmas wish to find a new wife for his dad. Meanwhile in Baltimore, journalist Annie Reed, who is having doubts about her own relationship, is listening in.
"
No Dogs or Italians Allowed,76.63,"Animation, Drama",2023,Ariane Ascaride,"
Early 20th century, in the Ughetto family's home village, Ughettera, Northern Italy. Life in the region had become very difficult and the Ughettos dreamed of a better life abroad. Legend has it that Luigi Ughetto crossed the Alps and started a new life in France, thus changing his beloved family's destiny forever. His grandson retraces their story.
"
Edge of Tomorrow,76.10000000000001,"Action, Science Fiction",2014,Tom Cruise,"
Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.
"
Infinity Pool,61.53,"Horror, Science Fiction, Thriller",2023,Alexander Skarsgård,"
While staying at an isolated island resort, James and Em are enjoying a perfect vacation of pristine beaches, exceptional staff, and soaking up the sun. But guided by the seductive and mysterious Gabi, they venture outside the resort grounds and find themselves in a culture filled with violence, hedonism, and untold horror. A tragic accident leaves them facing a zero tolerance policy for crime: either you'll be executed, or, if you’re rich enough to afford it, you can watch yourself die instead.
"
The Passion of the Christ,74.65,Drama,2004,Jim Caviezel,"
A graphic portrayal of the last twelve hours of Jesus of Nazareth's life.
"
Scent of a Woman,78.0,Drama,1992,Chris O'Donnell,"
Charlie Simms is a student at a private preparatory school who comes from a poor family. To earn the money for his flight home to Gresham, Oregon for Christmas, Charlie takes a job over Thanksgiving looking after retired U.S. Army officer Lieutenant Colonel Frank Slade, a cantankerous middle-aged man who lives with his niece and her family.
"
An American Werewolf in London,73.81,"Comedy, Horror",1981,David Naughton,"
Two American tourists in England are attacked by a werewolf that none of the locals will admit exists.
"
Mooned,0.0,"Animation, Family,",2023,Jason Segel,"
A 'Despicable Me' short film focused on Vector.
"
Sister-in-law's Taste,63.0,"Drama, Romance",2020,Jin Joo,"
Ha-ni who was on a honeymoon with her husband, Jae-ho, seems to be uncomfortable with her sister-in-law, Ye-ji. She is a freeloader who lives in her brother's house without any other job. When the close brother and sister's affection was being expressed boldly and the sister's obsession with her brother gets stronger day by day, Ha-ni got tired of her sister-in-law's behavior of entering their bedroom in her sexy underwear. Ha-ni goes to Ik-tae, the manager of the cabin and had a physical relationship. What could the real purpose of their trip to the mountain be, and what could be the fate of the married couple that is tangled like a thread around Ha-ni and her sister-in-law's relationship?
"
Bolt,65.01,"Animation, Family, Adventure, Comedy",2008,John Travolta,"
Bolt is the star of the biggest show in Hollywood. The only problem is, he thinks it's real. After he's accidentally shipped to New York City and separated from Penny, his beloved co-star and owner, Bolt must harness all his ""super powers"" to find a way home.
"
Blacklight,62.13,"Action, Thriller",2022,Liam Neeson,"
Travis Block is a shadowy Government agent who specializes in removing operatives whose covers have been exposed. He then has to uncover a deadly conspiracy within his own ranks that reaches the highest echelons of power.
"
The Enforcer,71.0,Action,2022,Antonio Banderas,"
A noir thriller set in Miami, the film follows an enforcer who discovers his femme fatale boss has branched out into cyber sex trafficking, putting a young runaway he’s befriended at risk. He sacrifices everything to save the young girl from the deadly organization he’s spent his life building.
"
Sully,71.81,"Drama, History",2016,Tom Hanks,"
On 15 January 2009, the world witnessed the 'Miracle on the Hudson' when Captain 'Sully' Sullenberger glided his disabled plane onto the Hudson River, saving the lives of all 155 souls aboard. However, even as Sully was being heralded by the public and the media for his unprecedented feat of aviation skill, an investigation was unfolding that threatened to destroy his reputation and career.
"
Donnie Darko,77.83,"Fantasy, Drama, Mystery",2001,Jake Gyllenhaal,"
After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.
"
Rush Hour,70.22,"Action, Comedy, Crime",1998,Jackie Chan,"
When Hong Kong Inspector Lee is summoned to Los Angeles to investigate a kidnapping, the FBI doesn't want any outside help and assigns cocky LAPD Detective James Carter to distract Lee from the case. Not content to watch the action from the sidelines, Lee and Carter form an unlikely partnership and investigate the case themselves.
"
In Dreams,65.0,"Thriller, Horror",2023,Bianca Bree,"
After her grandfather's murder, Alma and her husband decide to go away to her childhood cabin. As the days go on, her life spirals into a surreal confusion in which her dreams turn real.
"
Rush Hour 2,67.19,"Action, Comedy, Crime",2001,Jackie Chan,"
It's vacation time for Carter as he finds himself alongside Lee in Hong Kong wishing for more excitement. While Carter wants to party and meet the ladies, Lee is out to track down a Triad gang lord who may be responsible for killing two men at the American Embassy. Things get complicated as the pair stumble onto a counterfeiting plot. The boys are soon up to their necks in fist fights and life-threatening situations. A trip back to the U.S. may provide the answers about the bombing, the counterfeiting, and the true allegiance of sexy customs agent Isabella.
"
The Ten Commandments,77.59,"Drama, History",1956,Charlton Heston,"
Escaping death, a Hebrew infant is raised in a royal household to become a prince. Upon discovery of his true heritage, Moses embarks on a personal quest to reclaim his destiny as the leader and liberator of the Hebrew people.
"
The Remaining,60.87,"Thriller, Horror",2014,Alexa PenaVega,"
When a group of close-knit friends assemble for the marriage of Skylar and Dan, they have no idea they will witness The Rapture and face a series of catastrophic events turning the celebration into a life-or-death struggle.
"
A Million Ways to Die in the West,60.0,"Comedy, Western",2014,Seth MacFarlane,"
As a cowardly farmer begins to fall for the mysterious new woman in town, he must put his new-found courage to the test when her husband, a notorious gun-slinger, announces his arrival.
"
"The Simpsons: The Good, the Bart, and the Loki",73.32,"Animation, Comedy,",2021,Tom Hiddleston,"
Loki is banished from Asgard once again and must face his toughest opponents yet: the Simpsons and Springfield’s mightiest heroes. The God of Mischief teams up with Bart Simpson in the ultimate crossover event paying tribute to the Marvel Cinematic Universe of superheroes and villains.
"
Maleficent: Mistress of Evil,73.22,"Family, Fantasy, Adventure, Action",2019,Angelina Jolie,"
Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies, and dark new forces at play.
"
Kaguya-sama: Love Is War -The First Kiss That Never Ends-,79.17,"Animation, Comedy, Romance",2022,Makoto Furukawa,"
After pining for one another and plotting for so long, Kaguya Shinomiya and Miyuki Shirogane finally have their climactic first kiss. However, they struggle to define their relationship. After all, how much of their true selves have they really shown to one another?
"
The Trapped 13: How We Survived The Thai Cave,68.15,Documentary,2022,Ekapol Chanthawong,"
In this compelling documentary, members of the Thai youth soccer team tell their stories of getting trapped in Tham Luang Cave in 2018 — and surviving.
"
Captain America: The Winter Soldier,76.7,"Action, Adventure, Science Fiction",2014,Chris Evans,"
After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.
"
Heartbreak Ridge,68.7,"War, Drama, Comedy",1986,Clint Eastwood,"
A hard-nosed, hard-living Marine gunnery sergeant clashes with his superiors and his ex-wife as he takes command of a spoiled recon platoon with a bad attitude.
"
Annihilation,64.02,"Science Fiction, Horror",2018,Natalie Portman,"
A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.
"
ReMastered: Devil at the Crossroads,69.05,,2019,Keith Richards,"
Robert Johnson was one of the most influential blues guitarists ever. Even before his early death, fans wondered if he'd made a pact with the Devil.
"
La Haine,80.87,Drama,1995,Vincent Cassel,"
After a chaotic night of rioting in a marginal suburb of Paris, three young friends, Vinz, Hubert and Saïd, wander around unoccupied waiting for news about the state of health of a mutual friend who has been seriously injured when confronting the police.
"
The Ledge,65.11999999999999,"Thriller, Adventure",2022,Brittany Ashworth,"
A rock climbing adventure between two friends turns into a terrifying nightmare. After Kelly captures the murder of her best friend on camera, she becomes the next target of a tight knit group of friends who will stop at nothing to destroy the evidence and anyone in their way.
"
Star Wars: Episode III - Revenge of the Sith,74.14,"Adventure, Action, Science Fiction",2005,Hayden Christensen,"
The evil Darth Sidious enacts his final plan for unlimited power -- and the heroic Jedi Anakin Skywalker must choose a side.
"
Escape: Puzzle of Fear,40.0,Horror,2020,Tommy Nash,"
Hot-shot Hollywood agent Matthew Blake has a dark past. He thinks that he is on his way to a double date with his oldest friend to a new Escape Room in Los Angeles. When the couples are locked into the Escape Room, Matthew quickly finds himself at the center of a revenge plot meant to right the wrongs of his past, with deadly results.
"
Saw VI,62.78,"Horror, Thriller",2009,Tobin Bell,"
Special Agent Strahm is dead, and Detective Hoffman has emerged as the unchallenged successor to Jigsaw's legacy. However, when the FBI draws closer to Hoffman, he is forced to set a game into motion, and Jigsaw's grand scheme is finally understood.
"
Ambulance,66.89,"Thriller, Action",2022,Jake Gyllenhaal,"
Decorated veteran Will Sharp, desperate for money to cover his wife's medical bills, asks for help from his adoptive brother Danny. A charismatic career criminal, Danny instead offers him a score: the biggest bank heist in Los Angeles history: $32 million.
"
Fullmetal Alchemist: The Final Alchemy,63.37,"Action, Adventure, Fantasy",2022,Ryosuke Yamada,"
The Elric brothers’ long and winding journey comes to a close in this epic finale, where they must face off against an unworldly, nationwide threat.
"
Hard Days,66.36,"Thriller, Crime, Action, Drama",2023,Junichi Okada,"
After going to extremes to cover up an accident, a corrupt cop's life spirals out of control when he starts receiving threats from a mysterious witness.
"
I Am Rage,69.0,"Action, Thriller, Horror",2023,Hannaj Bang Bendz,"
An ancient cult embroiled in a sinister blood trade makes the deadly mistake of abducting a young woman with a violent, shocking past.
"
Star Trek,74.34,"Science Fiction, Action, Adventure",2009,Chris Pine,"
The fate of the galaxy rests in the hands of bitter rivals. One, James Kirk, is a delinquent, thrill-seeking Iowa farm boy. The other, Spock, a Vulcan, was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before. The human adventure has begun again.
"
Ghost,72.07,"Fantasy, Drama, Thriller, Mystery, Romance",1990,Patrick Swayze,"
Sam Wheat is a banker, Molly Jensen is an artist, and the two are madly in love. However, when Sam is murdered by his friend and corrupt business partner Carl Bruner over a shady business deal, he is left to roam the earth as a powerless spirit. When he learns of Carl's betrayal, Sam must seek the help of psychic Oda Mae Brown to set things right and protect Molly from Carl and his goons.
"
The Lair,57.53,"Horror, Action",2022,Charlotte Kirk,"
Royal Air Force pilot Lt. Kate Sinclair is on her final flight mission when her jet is shot down over one of the most dangerous rebel strongholds in Afghanistan. She finds refuge in an abandoned underground bunker where deadly man-made creatures known as Ravagers — half-human, half-alien, and hungry for human flesh — are awakened.
"
Apocalypto,75.71,"Action, Drama, History",2006,Rudy Youngblood,"
Set in the Mayan civilization, when a man's idyllic presence is brutally disrupted by a violent invading force, he is taken on a perilous journey to a world ruled by fear and oppression where a harrowing end awaits him. Through a twist of fate and spurred by the power of his love for his woman and his family he will make a desperate break to return home and to ultimately save his way of life.
"
Saint Seiya: Warriors of the Final Holy Battle,72.9,"Action, Animation,",1989,Toru Furuya,"
The plot involves the coming of Lucifer to the Sanctuary, where his underlings systematically dispose of the surviving Gold Saints. Athena goes to Lucifer to ask for peace, placing herself in peril. The Bronze Saints must then come to her rescue, destroying Lucifer's Fallen Angels (Seima Tenshi in Japanese) in the process.
"
The Quintessential Quintuplets Movie,83.59,"Animation, Comedy, Romance",2022,Yoshitsugu Matsuoka,"
When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?
"
Hounddog,61.54,"Drama, Music",2007,Dakota Fanning,"
A drama set in the American South, where a precocious, troubled girl finds a safe haven in the music and movement of Elvis Presley.
"
Stonehearst Asylum,68.21,"Thriller, Mystery, Horror",2014,Kate Beckinsale,"
A Harvard Medical School graduate takes a position at a mental institution and soon becomes obsessed with a female mental patient, but he has no idea of a recent and horrifying staffing change.
"
Libres,50.0,,2023,,"
For centuries, many men and women have left everything to dedicate their lives to contemplation.  LIBRES, is a journey into the interior of man. We have obtained permission to enter and speak with people who rarely speak, in places that remain closed to the world: monasteries.  What leads a person to divest himself of the world he knows, to withdraw from it for the rest of his life? How does such a person think? LIBRES approaches great questions of the existence of man, with a single objective: to listen to them.
"
Saint Seiya: Evil Goddess Eris,70.19999999999999,"Action, Animation,",1987,Toru Furuya,"
When Seiya, Hyōga and Shun visit Saori (Athena) at the orphanage, they meet an employee called Eri. An orphan herself, Eri takes a liking to Hyōga and one night they sit outside watching the stars. They see a shooting star and Hyōga asks Eri to make a wish. After Hyōga leaves, however, Eri becomes powerfully attracted to the shooting star and wanders alone into the woods, where she finds a golden apple. She is then possessed by Eris, the Goddess of Discord, and kidnaps Athena, planning to use the golden apple to suck her energy out, fully reincarnate and take over the world. Eris leaves a message for the Bronze Saints, who set out for the goddess's temple which appears on the mountains. There, the heroes fight the five Ghost Saints: Maya of Sagitta, Orpheus of Lyra, Christ of the Southern Cross, Jan of Scutum (called by the Japanese name Tateza) and Jäger of Orion.
"
Predators,62.43000000000001,"Science Fiction, Action, Thriller",2010,Adrien Brody,"
A group of cold-blooded killers find themselves trapped on an alien planet to be hunted by extraterrestrial Predators.
"
"One Piece ""3D2Y"": Overcome Ace's Death! Luffy's Vow to his Friends",69.58,"Animation, Action, Adventure, Comedy, Fantasy",2014,Mayumi Tanaka,"
The special takes place during the two year before the Straw Hats reunite on Sabody.  Luffy is currently in Rusukaina training to get stronger to take on the New World. However the training  is interrupted when Hancock's sisters, Marigold and Sandersonia, are kidnapped by the Byrnndi World,  a pirate who was locked away on Level 6 of Impel Down but escaped during Luffy's invasion to save Ace,  in order to lure Hancock to him and use her as a hostage against the World Government due to her  Shichibukai status. Thus Luffy and Hancock head off to confront him and save Hancock's sisters.
"
Bad Boys II,66.07000000000001,"Action, Crime, Comedy",2003,Will Smith,"
Detectives Marcus Burnett and Mike Lowrey of the Miami Narcotics Task Force are tasked with stopping the flow of the drug ecstasy into Miami. They track the drugs to the whacked-out Cuban drug lord Johnny Tapia, who is also involved in a bloody war with Russian and Haitian mobsters. If that isn't bad enough, there's tension between the two detectives when Marcus discovers that playboy Mike is secretly romancing Marcus’ sister, Syd.
"
Mighty Express: A Mighty Christmas,55.0,,2020,,"
The Mighty Express welcomes a new train and speeds into a snowstorm to deliver Santa’s presents and save Christmas for all the kids in Tracksville.
"
LEGO Frozen Northern Lights,66.0,"Animation,",2017,Kristen Bell,"
Elsa, Anna and friends search for the Northern Lights.
"
The Paloni Show! Halloween Special!,59.23,"Animation, Comedy, Horror",2022,Justin Roiland,"
Leroy, Reggie and Cheruce Paloni host a Halloween special full of spooky shorts from a group of up-and-coming animators.
"
Knock Knock,53.43,Thriller,2015,Keanu Reeves,"
When a devoted husband and father is left home alone for the weekend, two stranded young women unexpectedly knock on his door for help. What starts out as a kind gesture results in a dangerous seduction and a deadly game of cat and mouse.
"
Flesh and Fire,56.43,,1985,Kevin Bernhardt,"
American Raphael talks his colleague at the Parisian University into spending his summer at the family's country mansion. But once there Raphael seduces and plays the sisters and mother against each other - until everyone is revealed at their very worst. As it turns out - that was Raphael's intention all along - because his own torrid past is deeply rooted in their family's dirty history.
"
xXx: State of the Union,50.0,"Action, Adventure, Crime, Mystery, Thriller",2005,Ice Cube,"
Darius Stone's criminal record and extreme sports obsession make him the perfect candidate to be the newest XXX agent. He must save the U.S. government from a deadly conspiracy led by five-star general and Secretary of Defense George Deckert.
"
Tabu,58.0,,1983,Caetano Veloso,"
The fictional encounter in Rio de Janeiro, Brazil (in the 30s) between popular songwriter Lamartine Babo and inconoclast poet and playwright Oswald de Andrade.
"
Berserk: The Golden Age Arc II - The Battle for Doldrey,73.0,"Action, Adventure, Drama, Fantasy, Animation",2012,Hiroaki Iwanaga,"
The Band of the Hawk participates in the Midland war campaign. On the bloody battlefield, they conquer decisive victories that lead them to Doldrey, an old fortress that will decide the outcome of the war.
"
The Penitent Thief,61.0,"Drama, Fantasy",2021,Kevin Sorbo,"
The story of the two unnamed men who were crucified alongside Jesus and how they came to be beside him on the cross that fateful day. Dismas and his brother Jotham, along with Gestas, another young man who will share their fate, suffer tragedy and injustice at the hands of a band of thieves and a ruthless Roman centurion. Theirs is a story of survival against the odds, but they cannot outrun their destiny.
"
Green Lantern,51.67,"Adventure, Action, Thriller, Science Fiction",2011,Ryan Reynolds,"
For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.
"
Spirál,60.0,Drama,2020,Alexandra Borbély,"
This story is about letting go. Sometimes we can't let go, and this might result in consequences that end in tragedy. There's only one thing we can do: face ourselves.
"
